ym,median_ppp,mean_ppp,n_trades,ym_date
2023-02,4322.394037427177,5239.12991460048,510,2023-02-01
2023-03,4089.7169367600404,5034.21141976765,610,2023-03-01
2023-04,4167.272894706441,5045.738689676693,728,2023-04-01
2023-05,4396.190072574003,5271.059273632171,804,2023-05-01
2023-06,4572.234833820796,5453.214742713222,868,2023-06-01
2023-07,4396.838512241055,5276.639224581032,825,2023-07-01
2023-08,4525.469115191987,5458.755031939102,889,2023-08-01
2023-09,4256.95575686958,5103.5933227036085,750,2023-09-01
2023-10,4204.098044615514,5210.087330143608,524,2023-10-01
2023-11,3940.585388882332,4724.813731404433,439,2023-11-01
2023-12,4086.519896397457,4840.5784301477515,397,2023-12-01
2024-01,4365.733868271482,5359.662669375126,619,2024-01-01
2024-02,4159.00409591029,5238.308433306287,646,2024-02-01
2024-03,4139.776867030965,5171.076800834412,933,2024-03-01
2024-04,4316.792896317576,5297.015775927187,1033,2024-04-01
2024-05,4527.275629715515,5535.777096687394,1203,2024-05-01
2024-06,4765.769735739057,5705.427984732813,1786,2024-06-01
2024-07,4631.525858485604,5559.840786335421,2168,2024-07-01
2024-08,4436.021003500583,5531.492156693981,1617,2024-08-01
2024-09,4392.4180609529385,5546.572910024625,798,2024-09-01
2024-10,4545.140705938866,5612.736542104368,1018,2024-10-01
2024-11,4909.073644385167,5847.139502834293,858,2024-11-01
2024-12,4579.135754659643,5702.424253081374,760,2024-12-01
2025-01,4702.321299039999,5696.440398428753,852,2025-01-01
2025-02,5443.189591704955,6426.593948012218,1780,2025-02-01
2025-03,5211.218230347137,6235.944962338824,2834,2025-03-01
2025-04,4226.777420196573,4725.5450352749485,1159,2025-04-01
2025-05,4360.494641384997,5097.3813124323,1785,2025-05-01
2025-06,4619.906832298136,5424.344267613325,2701,2025-06-01
2025-07,4702.671835496376,5751.649922364315,1033,2025-07-01
2025-08,4278.428678799291,4881.092188938942,1002,2025-08-01
2025-09,4496.637439573262,5054.6061075179905,1989,2025-09-01
2025-10,4508.70772391181,5242.794406928788,1988,2025-10-01
2025-11,5020.58158700259,5929.821169504727,825,2025-11-01
2025-12,4384.874782388512,5050.516120573828,1082,2025-12-01
2026-01,4567.150877436044,5284.6127801132125,1326,2026-01-01
2026-02,4621.518636042691,5325.709819072861,1352,2026-02-01
2026-03,4590.308307837137,5339.965727604523,1173,2026-03-01
2026-04,4990.4070058381985,5754.46167695922,2015,2026-04-01
2026-05,5056.115331435869,5826.759686817383,1894,2026-05-01
2026-06,4679.364750561022,5370.269099166865,645,2026-06-01
